subtype,n_cancer_patients,n_normal_patients,median_cancer,median_normal,median_diff (normal - cancer),p_value,fdr
ER+,9,5,2.4132336215902375,3.174005487654031,0.7607718660637937,0.7972027972027972,0.8259648022720806
HER2+,3,2,1.2793012276948703,4.447098154723463,3.1677969270285926,0.2,0.6000000000000001
TNBC,8,5,0.8030098573707597,1.6822130970656877,0.879203239694928,0.8259648022720806,0.8259648022720806
